pid,id,order,age,age_m,age_d,trial_index,trial_label,trial_start,center,aoi,x,fix_start,fix_end,duration,pupil,video,img,wav,trial,base_word,condition,frame
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,100
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,101
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,102
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,103
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,104
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,105
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,106
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,107
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,108
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,109
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,110
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,111
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,112
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,113
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,114
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,115
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,116
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,117
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,118
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,119
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,120
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,121
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,122
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,123
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,124
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,125
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,126
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,127
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,128
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,129
LVar123,123,5,35.876796714579,35,27,2,Trial: 2,19702,720,left,685.1,10,1442,1434,929,.,object1.png,tanzer_unnaturalv.wav,1,tan,unnaturalv,130
